# ADC noise capture
# date: 2026-08-10 18:45:39
# port: COM3, baud: 115200
# source: A0 trimmer potentiometer on the 511/512 code boundary
# requested samples: 1000, received: 1000, bad lines: 0
# duration_s: 1.059, effective_rate_sps: 943.0, mean_interval_us: 1060.5
# note: A0 trimmer at 511/512 boundary, run 1
sample_index,t_us,raw
358,832596,512
359,833616,512
360,834636,512
361,835656,512
362,836676,512
363,837696,512
364,838716,511
365,839736,512
366,840756,512
367,841776,512
368,842796,511
369,843816,512
370,844836,512
371,845856,512
372,846876,512
373,847896,512
374,848916,512
375,849940,512
376,850960,512
377,851980,511
378,853000,512
379,854020,511
380,855036,512
381,856056,511
382,857076,512
383,858096,511
384,859116,512
385,860136,512
386,861156,511
387,862176,512
388,863196,512
389,864216,512
390,865236,512
391,866256,511
392,867276,512
393,868296,512
394,869316,512
395,870336,512
396,871356,511
397,872376,512
398,873396,512
399,874416,512
400,875436,512
401,876456,511
402,877476,512
403,878496,512
404,879516,512
405,880536,512
406,881556,511
407,882576,512
408,883596,512
409,884616,512
410,885636,512
411,886656,511
412,887676,512
413,888696,512
414,889716,512
415,890736,512
416,891756,511
417,892776,512
418,893796,512
419,894816,511
420,895836,512
421,896856,511
422,897876,512
423,898896,512
424,899916,512
425,900936,512
426,901956,512
427,902976,512
428,903996,512
429,905016,512
430,906036,512
431,907056,512
432,908076,511
433,909096,512
434,910116,512
435,911136,511
436,912156,511
437,913176,512
438,914196,512
439,915216,511
440,916236,511
441,917256,512
442,918276,512
443,919296,512
444,920316,512
445,921336,511
446,922356,512
447,923376,511
448,924396,512
449,925416,512
450,926436,511
451,927456,512
452,928476,512
453,929496,512
454,930516,512
455,931536,511
456,932556,512
457,933576,512
458,934596,512
459,935616,512
460,936636,512
461,937656,512
462,938676,512
463,939696,512
464,940716,512
465,941736,511
466,942756,512
467,943776,512
468,944796,512
469,945816,511
470,946836,511
471,947856,512
472,948876,512
473,949896,512
474,950916,512
475,951936,512
476,952956,512
477,953976,512
478,954996,512
479,956016,512
480,957036,512
481,958056,512
482,959076,512
483,960096,512
484,961116,512
485,962136,512
486,963156,512
487,964176,512
488,965196,511
489,966216,511
490,967236,512
491,968256,511
492,969276,512
493,970296,512
494,971316,511
495,972336,512
496,973356,511
497,974376,512
498,975396,512
499,976416,512
500,977436,512
501,978456,512
502,979476,512
503,980496,512
504,981516,512
505,982536,512
506,983556,512
507,984576,512
508,985596,512
509,986616,511
510,987636,512
511,988656,512
512,989676,512
513,990696,512
514,991716,512
515,992736,512
516,993756,511
517,994776,512
518,995796,512
519,996816,512
520,997836,511
521,998856,512
522,999876,512
523,1000896,511
524,1002000,512
525,1003104,512
526,1004212,511
527,1005316,511
528,1006420,512
529,1007524,512
530,1008632,512
531,1009736,512
532,1010840,512
533,1011944,512
534,1013052,512
535,1014156,511
536,1015260,512
537,1016364,511
