# ADC noise capture
# date: 2026-08-10 20:40:38
# port: COM3, baud: 115200
# source: A0 trimmer potentiometer on the 511/512 code boundary
# requested samples: 1000, received: 1000, bad lines: 0
# duration_s: 1.274, effective_rate_sps: 784.3, mean_interval_us: 1275.0
# note: example capture, padded 15-char format, same operating point as the main run
sample_index,t_us,raw
263,804492,512
264,805764,512
265,807040,512
266,808316,512
267,809592,512
268,810864,512
269,812140,512
270,813416,512
271,814692,512
272,815964,512
273,817240,512
274,818516,512
275,819792,512
276,821064,512
277,822340,512
278,823616,512
279,824892,512
280,826164,512
281,827440,512
282,828716,512
283,829992,512
284,831264,512
285,832540,512
286,833816,512
287,835092,512
288,836364,512
289,837648,512
290,838916,512
291,840192,512
292,841464,512
293,842740,512
294,844016,512
295,845292,512
296,846564,512
297,847840,512
298,849116,512
299,850392,512
300,851664,512
301,852940,512
302,854216,512
303,855492,512
304,856764,512
305,858040,512
306,859316,512
307,860592,512
308,861864,512
309,863140,512
310,864416,512
311,865692,511
312,866964,512
313,868240,512
314,869516,512
315,870792,512
316,872064,512
317,873340,512
318,874616,512
319,875892,512
320,877164,512
321,878440,512
322,879716,512
323,880992,512
324,882264,512
325,883540,512
326,884816,512
327,886092,512
328,887364,512
329,888640,512
330,889916,512
331,891192,512
332,892464,512
333,893740,512
334,895016,512
335,896292,512
336,897564,512
337,898840,512
338,900116,512
339,901392,512
340,902664,512
341,903940,512
342,905220,512
343,906492,512
344,907764,512
345,909040,512
346,910316,512
347,911592,512
348,912864,512
349,914140,512
350,915416,512
351,916692,512
352,917964,512
353,919240,512
354,920516,512
355,921792,512
356,923064,512
357,924340,512
358,925616,512
359,926892,512
360,928164,512
361,929440,512
362,930716,512
363,931992,512
364,933264,512
365,934540,512
366,935816,512
367,937092,512
368,938364,512
369,939640,512
370,940916,512
371,942192,512
372,943464,512
373,944740,512
374,946016,512
375,947292,512
376,948564,512
377,949840,512
378,951116,512
379,952392,512
380,953664,512
381,954940,512
382,956216,512
383,957492,512
384,958764,512
385,960040,512
386,961316,512
387,962592,512
388,963864,512
389,965140,512
390,966416,512
391,967696,512
392,968964,512
393,970240,512
394,971516,512
395,972792,512
396,974064,512
397,975340,512
398,976616,512
399,977892,512
400,979164,512
401,980440,512
402,981716,512
403,982992,512
404,984264,512
405,985540,512
406,986816,512
407,988092,512
408,989364,512
409,990640,512
410,991916,512
411,993192,512
412,994464,512
413,995740,512
414,997016,512
415,998292,512
416,999564,512
417,1000840,512
418,1002116,512
419,1003392,512
420,1004664,512
421,1005940,512
422,1007216,512
423,1008492,512
424,1009764,512
425,1011040,512
426,1012316,512
427,1013592,512
428,1014864,512
429,1016140,512
430,1017416,512
431,1018692,512
432,1019964,512
433,1021240,512
434,1022516,512
435,1023792,512
436,1025064,512
437,1026340,512
438,1027616,512
439,1028892,512
440,1030164,512
441,1031440,512
442,1032716,512
443,1033992,511
444,1035272,512
445,1036540,512
446,1037816,512
447,1039092,512
448,1040364,512
449,1041640,512
450,1042916,512
451,1044192,512
452,1045464,512
453,1046740,512
454,1048016,512
455,1049292,512
456,1050564,512
457,1051840,512
458,1053116,512
459,1054392,512
460,1055664,512
461,1056940,512
462,1058216,512
463,1059492,512
464,1060764,512
465,1062040,512
466,1063316,511
467,1064592,512
468,1065864,512
469,1067140,512
470,1068416,512
471,1069692,511
472,1070964,512
473,1072240,512
474,1073516,512
475,1074792,512
476,1076064,512
477,1077340,512
478,1078616,512
479,1079892,512
480,1081164,512
481,1082440,512
482,1083716,512
483,1084992,512
484,1086264,512
485,1087540,512
486,1088816,512
487,1090092,512
488,1091364,511
489,1092640,512
490,1093916,512
491,1095192,512
492,1096464,512
493,1097748,512
494,1099016,512
495,1100292,512
496,1101564,512
497,1102840,512
498,1104116,511
499,1105392,512
500,1106664,512
501,1107940,512
502,1109216,512
503,1110492,512
504,1111764,512
505,1113040,512
506,1114316,512
507,1115592,512
508,1116864,512
509,1118140,512
510,1119416,512
511,1120692,512
512,1121964,512
513,1123240,512
514,1124516,512
515,1125792,512
516,1127064,512
517,1128340,512
518,1129616,512
519,1130892,512
520,1132164,512
521,1133440,512
522,1134716,512
523,1135992,512
524,1137264,512
525,1138540,512
526,1139816,512
527,1141092,512
528,1142364,512
529,1143640,512
530,1144916,512
531,1146192,512
532,1147464,512
533,1148740,512
534,1150016,512
535,1151292,512
536,1152564,512
537,1153840,512
538,1155116,512
539,1156392,512
540,1157664,512
541,1158940,512
542,1160216,512
543,1161492,512
544,1162764,512
545,1164040,512
546,1165320,512
547,1166592,512
548,1167864,512
549,1169140,512
550,1170416,511
551,1171692,512
552,1172964,512
553,1174240,512
554,1175516,512
555,1176792,512
556,1178064,512
557,1179340,512
558,1180616,512
559,1181892,512
560,1183164,512
561,1184440,512
562,1185716,512
563,1186992,512
564,1188264,512
565,1189540,512
566,1190816,512
567,1192092,512
568,1193364,512
569,1194640,512
570,1195916,512
571,1197192,512
572,1198464,512
573,1199740,512
574,1201016,512
575,1202292,512
576,1203564,512
577,1204840,512
578,1206116,512
579,1207392,511
580,1208664,512
581,1209940,512
582,1211216,512
583,1212492,512
584,1213764,512
585,1215040,512
586,1216316,512
587,1217592,512
588,1218864,512
589,1220140,512
590,1221416,512
591,1222692,512
592,1223964,512
593,1225240,512
594,1226516,512
595,1227796,512
596,1229064,512
597,1230340,512
598,1231616,512
599,1232892,512
600,1234164,512
601,1235440,512
602,1236716,512
603,1237992,512
604,1239264,512
605,1240540,512
606,1241816,512
607,1243092,512
608,1244364,512
609,1245640,512
610,1246916,512
611,1248192,512
612,1249464,512
613,1250740,512
614,1252016,512
615,1253292,512
616,1254564,512
617,1255840,512
618,1257116,511
619,1258392,511
620,1259664,512
621,1260940,512
622,1262216,512
623,1263492,512
624,1264764,512
